q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12
-1.1436,0.5451,-0.0174,1.3119,-0.5917,-0.6596,0.8329,-0.5907,-0.267,-0.8692,0.6215,-0.1612
0.6513,-0.0016,0.8244,-0.0695,0.3479,-0.418,0.4127,-0.6561,0.3333,0.1585,-0.1497,-0.1524
-0.2452,0.2576,-1.5095,-0.3423,-0.4,1.9584,-1.6902,1.4677,-0.083,0.4932,2.0648,0.577
-5.123,2.2782,0.7603,0.9654,-4.5004,-3.9429,1.517,-1.0682,0.3264,-3.2949,-2.2595,-0.3584
2.1822,-0.7434,1.0037,1.7278,2.181,0.4032,2.0443,-2.0916,-0.4104,-0.1792,-2.0075,-0.3027
-0.4156,0.1259,-0.3243,1.8564,-0.3134,-0.0331,1.8284,-1.3861,-0.2089,-1.6596,-0.954,0.151
1.1822,-0.965,0.3895,2.8619,1.8334,-0.5234,0.3881,-1.028,-0.3006,-0.3132,-0.0071,0.4272
-2.1127,1.2905,0.4194,-0.154,-3.3562,-2.1017,2.3538,-1.6818,-0.4769,-2.4765,-2.8564,-1.9942
-4.0641,1.3236,-1.349,-0.8695,-4.1343,-1.6089,-0.2298,1.3205,-0.1758,-1.4254,0.6367,-0.479
-0.813,0.6823,-0.8168,0.6689,-1.7182,1.3091,0.7343,0.0779,-0.205,-1.585,0.3596,0.1583
4.3221,-1.2725,-1.5486,1.2419,4.3071,4.6296,-3.3924,0.5417,-0.51,2.7758,4.3684,2.0818
-3.872,1.7883,2.0138,1.2564,-3.3868,-5.4855,2.2965,-1.1112,0.5908,-2.8347,-2.9225,-0.5576
-2.5301,1.7059,0.8192,0.3332,-1.2165,-3.2345,-0.5894,-0.121,0.5128,-0.5399,-0.5117,-0.4293
0.9743,-0.7964,-1.3969,-3.0624,0.6173,3.4242,-3.4793,3.4563,0.2506,3.5266,3.8544,0.332
-1.1489,0.5571,-0.1354,-1.6315,-2.433,0.1423,1.7525,0.2848,-0.0919,-0.1148,-0.8123,-0.9847
0.7288,-1.2261,0.6615,0.2542,1.2968,-0.5644,-1.6178,-0.5087,0.612,0.656,1.2199,0.1269
-1.6854,1.1094,1.7508,2.3983,-0.985,-4.6906,0.9357,-2.1348,0.4799,-1.283,-1.458,-0.6111
0.6561,-0.6273,-0.2433,2.3065,1.2597,0.1587,-1.683,-0.2732,-0.707,0.1245,1.153,1.2468
-4.3413,1.7259,0.8188,-1.601,-4.1154,-5.0874,-1.9537,1.516,0.9132,-0.8521,-0.1104,-0.3276
-1.6926,0.7022,-1.2808,-5.1704,-1.1973,0.0599,-1.8269,3.3973,0.3591,2.8991,1.3918,0.304
-0.2692,-0.2553,-1.5271,-5.153,-0.8078,2.3154,-3.6259,5.0317,0.4694,3.8932,2.8584,0.1326
-2.9854,0.813,0.933,1.5822,-2.9686,-3.4224,0.2614,-1.3714,-0.2966,-2.9193,-0.6131,-0.4756
-2.0251,0.9611,0.0539,-1.9018,-2.8788,-0.8477,-0.4619,0.8591,0.4867,0.2241,0.367,-0.6341
1.6003,-0.6954,-0.4933,-1.7366,1.1396,2.6984,-0.4203,0.9542,-0.3388,2.3926,0.9581,-0.6302
0.1152,0.1539,-0.4801,1.5105,0.2509,0.0486,-0.4449,-1.4226,-0.4233,-0.4713,0.5465,-0.1942
-0.9836,0.5011,-0.1727,-5.5878,-0.923,-0.4264,-1.6336,2.5548,1.189,3.6904,-0.2249,-0.2384
3.2348,-0.665,-0.4105,5.4387,2.3236,3.2361,2.4263,-3.169,-1.6679,-2.3454,0.0795,0.8936
3.4317,-1.2439,1.4565,7.5877,5.4168,0.4415,-0.1204,-4.2417,-0.8424,-1.126,0.9721,2.2733
-2.0125,0.7569,0.6711,-2.2328,-2.5848,-2.3384,2.2932,-0.0364,0.7069,-1.133,-2.3082,-0.7658
-0.4659,0.1982,0.2273,1.1757,-0.2285,0.6925,-0.1477,-0.2296,-0.1097,-0.6719,1.0517,0.663
1.6407,-0.4026,0.1747,-2.9606,1.9625,0.3906,-0.4269,0.771,0.6648,1.7933,-0.3718,-0.0021
0.2646,-0.7606,0.7271,2.0017,1.026,-2.0549,-4.3974,0.8697,-0.119,1.5826,2.904,2.0408
1.6603,-0.2339,2.2463,4.2634,1.6225,-1.0278,5.7149,-5.3613,-1.2509,-4.6664,-4.4815,-0.4065
0.643,0.0227,-0.7996,1.1325,0.8738,1.5754,-0.3793,-0.1165,-0.0326,0.5832,1.449,0.4968
1.9378,-0.077,0.9576,1.4815,1.5646,1.9111,5.1748,-3.4368,-0.3263,-2.5066,-3.399,-1.4914
-1.7464,0.4376,-0.2388,-3.2342,-2.096,-0.6378,1.6147,0.6436,0.4225,-0.5263,-1.4022,-1.177
1.5736,-0.7752,0.0194,4.1791,1.5509,0.7568,-0.8231,-1.631,-0.3928,-1.0189,1.306,1.1448
2.0623,-0.7627,-0.3628,-0.6202,2.2011,2.4189,-4.3392,3.3875,0.3844,3.5691,4.3294,1.3831
-1.1034,0.3482,-0.082,-0.6135,-0.9667,0.0953,1.7653,-0.7072,0.6649,-1.1426,-1.5357,-0.8622
1.8086,-1.4474,-0.112,1.3343,1.0793,1.8505,-1.3067,-0.0097,0.0654,0.3513,1.3389,0.2258
-2.1934,1.5302,0.5503,-1.1547,-1.5983,-1.6894,0.671,0.6673,-0.141,-0.9323,-1.212,-0.4091
-0.6779,0.3345,-1.9151,4.7885,-0.2205,3.2803,-2.1675,-0.4673,-1.4431,-0.9685,4.261,1.3989
-2.8403,1.0402,1.5752,2.467,-2.1757,-4.4934,2.5064,-2.7132,-0.2247,-3.6486,-3.1107,-0.9238
-4.3024,1.4513,1.1946,-2.4133,-3.9452,-4.6125,3.2489,-0.891,0.3072,-2.9766,-4.7958,-1.4973
2.0624,-1.087,0.114,2.6746,1.5537,1.6094,2.3138,-2.1253,-0.6563,-1.8136,-1.266,0.0286
3.4551,-0.8981,-0.2062,1.6149,4.0369,3.1241,-0.6221,-0.7813,-0.6906,0.9642,1.8067,0.783
-2.1829,0.9505,-0.0394,-4.4595,-2.5739,-2.0321,1.8164,0.7325,0.728,0.0674,-2.4529,-1.2471
-0.073,0.1665,-1.517,-0.927,-0.5785,2.6031,-3.7887,3.022,-0.3283,2.4505,4.7163,1.6548
-1.4621,0.4663,0.7943,0.6876,-0.4604,-2.5808,0.989,-1.1494,0.7098,-1.121,-2.1565,-0.3506
0.8974,-0.4584,0.8412,-1.2135,2.1107,-0.4818,0.468,-0.3278,1.0486,0.8529,-1.0803,0.3555
0.967,-0.38,0.9791,3.1813,1.7536,-1.2896,2.5955,-2.8964,0.3669,-1.5509,-1.8278,-0.0922
-1.2768,0.616,1.4408,-2.622,-1.1639,-2.7259,-0.2938,0.8188,1.032,1.0814,-1.0627,-0.7408
3.0032,-1.9004,-0.6069,-0.6683,3.5015,3.3533,-1.1268,0.8085,0.665,2.8024,2.3579,0.7584
-2.7146,-0.0109,-2.0614,-5.6703,-3.3862,0.7189,-1.7352,3.4437,-0.0716,1.7946,0.7934,-0.8354
-0.4191,0.0027,-0.9278,-0.0321,-0.3076,0.9135,-3.4711,2.1066,-0.1764,1.3793,3.2552,1.0094
1.7344,-0.6942,0.28,1.4424,2.2071,-0.8284,-1.1112,-0.5857,0.922,1.2687,-0.0698,0.8984
-0.6835,-0.3348,-2.0104,-2.7289,-0.8527,2.7081,-1.6659,3.3728,-0.4085,1.9413,3.1692,0.5079
-0.1426,-0.243,-0.3069,1.9373,-0.6786,0.8125,1.9131,-1.6386,-0.47,-2.5023,0.4687,-0.9696
-2.4124,1.4586,1.5105,-0.2132,-2.0273,-3.139,3.8312,-2.0497,0.6372,-1.9203,-3.9443,-0.9835
-2.9708,1.1212,1.3013,-3.7471,-2.5321,-5.1641,0.6048,0.1772,1.8445,-0.1714,-2.6725,-0.8455
-7.4152,2.8468,-0.9822,-8.5423,-7.7757,-2.5975,1.5316,3.7785,0.2437,-0.9876,-2.0829,-2.972
4.5017,-2.2135,0.3923,6.7565,4.3044,3.2885,-0.1408,-3.2515,-1.2,-1.5634,1.5529,1.2465
2.3729,-0.1277,1.6095,3.2551,3.0085,-1.3002,1.3453,-2.8174,0.0936,-1.2415,-2.0295,0.345
2.5487,-1.7228,-0.2536,0.3421,2.0673,1.7654,0.1378,-0.6505,0.0455,0.6061,0.9948,0.9458
1.8908,-0.7187,-0.9596,1.1528,1.8951,1.1437,-5.1967,1.4571,0.028,2.5219,3.6759,1.6607
-0.6148,0.5156,-2.1003,-0.2187,-0.9633,1.0785,-2.2345,1.3492,0.152,0.3904,2.5195,-0.2003
2.9362,-1.3188,0.5244,3.7621,3.4001,1.1152,-0.7353,-1.1079,-0.5903,0.029,1.8744,0.5897
1.7319,-0.6268,-0.605,-0.9742,1.2722,1.6715,-1.5652,1.5802,-0.2321,1.4957,1.5158,0.4112
2.7506,-1.1222,0.3282,4.2164,2.6625,1.6598,3.7077,-3.7471,-0.7559,-3.0643,-2.6093,-0.2895
7.5111,-3.8203,-0.1732,1.1761,7.9356,5.9321,-2.3256,0.7669,0.0962,4.5899,3.1153,2.3117
-2.6126,0.9624,-0.4079,-3.5931,-2.9568,-0.9727,-1.0236,2.2908,0.2085,1.539,1.1221,0.0231
-5.1115,2.7617,1.2558,-2.1157,-4.9427,-5.6326,3.3271,-0.5838,1.1653,-3.5591,-4.4476,-2.0771
-0.2689,0.7524,-0.0276,-2.4154,-1.0198,-0.1652,-0.5327,1.1542,0.9444,0.928,-0.1594,-0.4452
0.9731,0.2739,0.6988,2.6283,1.33,0.2176,0.7464,-2.3151,-0.3454,-2.1823,-1.0415,0.435
-2.9956,1.8557,-0.4814,-3.7327,-3.9948,-0.8133,2.2476,1.4589,0.5255,-1.0728,-1.0985,-2.2461
-1.1864,0.7524,0.2293,0.9265,-1.1573,0.4218,2.3439,-1.5606,-0.1982,-2.4458,-1.1799,-0.6487
1.3509,-0.418,0.6578,-0.8618,2.356,-0.7448,-0.4546,0.744,0.8833,1.5386,-1.0161,-0.0232
-0.1395,-0.0396,0.2976,-1.5127,0.5529,-1.5797,-1.0348,1.3751,0.5435,1.6346,-0.0306,0.4059
0.2996,-0.0332,-0.0436,1.2328,0.8054,-0.2172,-2.4572,0.3474,-0.8939,0.6243,1.6468,0.866
-1.469,0.7726,2.2418,-1.0885,-1.192,-4.9021,-0.0201,-0.4774,1.2697,0.6522,-1.6433,-0.1587
2.2057,-0.6594,1.6064,1.564,2.3884,-0.6773,0.199,-1.8237,-0.5056,0.1292,-0.3662,0.6152
-2.3704,2.0761,1.8042,1.5127,-1.9347,-4.2441,3.9399,-2.9929,-0.3809,-3.7003,-4.8908,-1.1973
-2.3028,0.6746,0.1243,-3.7222,-1.7804,-2.9201,0.1876,0.8733,1.5117,1.1551,-1.5227,-0.9119
1.8995,-0.5741,0.877,1.9529,1.7352,0.8402,1.8982,-2.6705,-0.9082,-1.5839,-1.4033,0.0317
-3.2159,1.0517,0.3698,-2.3859,-3.402,-0.8165,3.4268,0.0589,0.1466,-2.6265,-3.4631,-1.8106
0.5765,0.4139,1.0736,3.7079,1.4176,-0.5921,-0.8812,-1.9135,-0.0977,-1.6867,0.2399,0.8503
1.7605,-0.862,0.5564,3.392,2.1115,0.9131,4.3784,-3.9031,-0.2549,-2.5025,-2.4559,-0.6175
0.281,-0.6736,-0.4644,-4.7113,1.2405,-0.5486,-3.4986,4.1342,1.0998,4.3997,1.5963,1.0533
-1.2672,0.3266,-0.475,-2.7625,-1.7706,0.8426,2.4292,0.5648,-0.8941,-1.2972,-0.808,-1.679
0.8429,-0.7934,-1.1038,-1.0018,0.0007,1.1579,-2.5806,1.6304,0.0979,2.4859,2.1431,0.0142
0.4703,-0.1519,-0.2556,2.2403,0.2757,1.163,1.996,-2.1284,-0.6431,-1.9837,0.0182,-0.3119
-3.7161,1.7278,0.8494,1.0395,-3.2584,-4.2532,-0.385,-0.5779,0.2664,-1.6128,-1.6546,0.4148
2.0717,-0.1669,-0.5834,0.9979,1.1067,2.5162,1.2153,-0.2836,-0.5903,-0.3064,0.3211,-0.6142
-1.2106,0.5097,-0.6723,-1.5661,-0.8989,-1.2467,0.8049,-0.3546,0.4982,-0.9103,-1.4637,-0.507
1.5172,-0.8562,1.0737,-0.0626,1.7152,0.1378,-2.556,0.9311,0.3937,2.3585,1.0813,1.0415
-2.6737,0.2559,0.242,-4.674,-2.6337,-1.2177,-2.3718,3.0174,0.7918,3.0835,0.6441,-1.1305
0.8382,-0.5499,-1.7927,-3.0617,-0.1316,2.7997,-0.1709,1.6057,-0.5912,1.1122,1.3395,-0.9952
-1.6902,-0.3894,-0.083,-0.6093,-0.5763,-0.8353,-3.621,1.3168,0.3616,0.868,0.9757,0.0952
-2.8319,0.5302,0.0696,-7.7052,-2.5617,-1.1334,0.1248,3.6654,1.7411,2.6616,-1.4722,-1.9003
-2.1797,1.6912,-0.6898,-0.6621,-2.2672,-1.2722,-0.4151,1.2782,-0.5719,-0.6024,0.48,-0.1032
-1.5932,0.3924,-0.3389,-6.1871,-1.2051,-0.9789,-1.7109,3.0841,1.7214,3.167,0.3301,-1.0842
3.0955,-1.3487,0.8876,4.3457,3.1583,0.6469,2.2601,-3.0334,-0.6539,-1.6302,-1.4415,0.1738
0.8166,-0.2286,-0.874,2.2801,0.8659,0.6305,-2.7835,0.5681,-0.3176,0.9213,2.9221,0.8557
-2.7849,1.0093,-1.7343,-6.7549,-3.451,1.7835,-1.0288,4.431,0.5745,2.292,1.3033,-1.8542
-4.3198,2.0863,0.7685,-4.7659,-3.778,-3.7861,-0.8675,1.6994,1.5575,1.0394,-1.5707,-0.3625
2.5567,-0.9923,-0.3341,-2.123,2.8147,0.2329,-1.8197,1.954,0.5394,3.8385,1.2764,1.19
-0.6503,0.0373,-0.9221,-4.7009,-1.5993,1.3926,1.2902,2.1351,0.7025,0.112,0.0731,-1.6345
0.4702,-0.3404,2.1861,1.3638,0.9928,-3.3879,2.2432,-2.4055,1.0081,-1.3276,-2.9152,0.6292
-2.8764,1.5947,-0.5543,-3.0909,-2.9372,-1.1799,-0.3106,1.6403,0.5341,0.4622,-0.2588,-0.5526
-2.481,1.1728,0.045,-1.2753,-1.3722,-1.8008,0.2473,0.6232,1.0085,-0.5932,-1.2517,-1.3818
-1.5896,1.1018,1.1905,1.7253,-1.6252,-2.8671,1.0926,-1.6877,0.3522,-1.5113,-1.4693,-0.3909
-0.8465,-0.0387,-1.4899,-3.2869,-1.0965,1.3979,-1.3399,2.9209,-0.6898,1.9078,2.3317,0.1326
-1.0577,0.0644,-2.423,-4.2468,-1.182,1.6759,-1.9203,3.8202,0.2693,2.8879,2.6524,0.4562
1.7208,-1.1165,-1.9717,1.7893,0.4167,4.5336,-0.4018,0.2394,-1.6036,-0.3325,2.6624,0.6469
2.7442,-1.0171,0.4858,2.8692,2.4351,0.3589,-1.1255,-1.6891,-0.6158,0.5318,0.4157,1.3226
0.3357,0.3101,0.949,1.8959,0.6219,-0.5752,1.2409,-1.517,-0.1581,-1.48,-1.0266,0.2282
-1.1733,0.3576,-0.6242,-1.6506,-0.4991,0.6298,-2.0455,2.0291,0.662,1.5554,1.7643,0.5587
0.0043,0.0744,-0.1307,-0.7092,-0.2236,0.9483,0.485,1.0277,-0.4675,0.2875,0.0128,-0.4565
-1.9496,1.7898,0.0594,-1.2468,-2.5113,-0.4294,0.6908,0.7565,0.9039,-0.6972,-0.0018,-0.7835
-1.2917,0.1887,-0.8597,-3.5714,-1.3159,0.7978,-1.4901,2.8263,0.2182,1.9266,1.9121,-0.1324
1.5025,-0.6004,0.4247,0.3805,0.8961,1.5312,1.1087,-0.6942,-0.165,-0.1284,-0.4768,0.152
-2.7877,0.703,2.266,0.6306,-1.326,-4.6348,3.3174,-2.7949,0.8375,-3.39,-4.7283,-0.5702
1.313,-0.5985,-1.4305,0.1508,-0.3049,2.6234,0.0393,0.7437,-1.3976,0.0592,0.6697,-0.1407
0.212,-0.0385,0.358,1.0004,-0.2033,1.4061,-0.6081,-0.2834,-0.6151,-0.0482,0.6218,0.1665
1.2094,-0.9729,-0.8932,2.5181,1.0787,2.6269,-0.9311,0.1134,-1.189,-0.1073,2.7338,0.5832
-1.7252,0.7247,-0.2409,-1.8605,-1.806,-1.3326,-0.3282,1.8228,0.1997,0.1793,0.0436,0.4769
0.1737,0.7386,-0.2213,0.9731,0.0856,1.0994,2.7065,-0.9903,-0.722,-1.6747,-0.6947,-0.7567
-0.2983,0.2056,0.9158,5.7217,-0.3315,-1.8359,-0.353,-3.091,-0.7394,-3.1246,-0.4683,1.0371
-0.5184,0.9576,-0.7044,-1.115,-1.3836,0.5085,1.8843,0.3322,-0.4799,-1.0949,-0.9449,-0.4266
1.203,-0.8424,1.7464,4.2107,1.4053,-0.9525,2.0082,-3.7832,-0.321,-2.7193,-1.832,0.6799
-1.6574,0.0298,1.6339,-0.7352,-0.9832,-4.3438,-0.5377,-0.6069,0.996,-0.2506,-2.0939,0.4033
-0.637,-0.0007,1.3569,0.2241,-1.0185,-2.8265,2.4691,-1.7018,1.1099,-1.3517,-3.3115,-1.2929
4.1611,-1.39,0.288,2.6571,4.3161,1.8142,-1.2242,-1.6124,0.0578,1.782,0.8937,1.2552
1.2319,-0.3316,0.4755,1.9812,1.1181,-0.6716,0.3765,-0.3549,-0.3177,-0.2241,-0.4679,0.6751
0.6772,0.1438,0.0143,-0.4998,1.1793,-0.785,-2.1738,1.4567,0.1432,2.5088,1.5411,1.2231
-3.1537,1.9307,-1.6638,-1.8407,-3.3687,-0.093,-2.2178,2.9204,-0.2585,1.0241,2.0133,-0.4558
0.4885,-0.7847,1.745,2.993,2.1527,-2.1531,0.1565,-1.7517,0.4548,-0.4902,-1.683,0.2955
3.1307,-0.8315,0.2377,-0.5577,2.2028,1.1049,0.1507,-0.5902,0.2826,1.5388,-0.0116,-0.0387
0.1864,0.313,0.9282,1.3188,0.6309,-1.4999,-1.0725,-0.0233,0.751,0.7679,0.8692,1.1822
-2.2001,0.6216,0.9273,1.4621,-1.3314,-3.3199,-1.3041,-0.2385,-0.2978,0.4027,-0.781,0.4621
1.2839,-0.3973,1.1228,2.1576,1.2411,-0.4831,0.0298,-1.282,-0.0517,-0.8458,-0.4604,0.6374
3.9231,-1.7405,-0.4459,2.817,4.0378,4.1407,-1.9816,-0.0701,-0.6915,1.2546,3.2239,1.8408
0.0473,0.2185,1.3173,1.5109,-0.0466,-1.7311,3.4333,-3.0249,0.147,-3.1627,-3.4596,-0.4795
1.7903,-0.3864,-1.2756,-0.9086,1.3299,2.2137,-3.3734,1.9464,-0.2337,2.7107,2.6757,0.9132
0.4756,-0.937,-1.3406,-4.3356,0.4285,3.2228,-1.9438,3.9593,0.262,4.119,2.5335,0.3798
-0.1968,0.1898,-0.5215,-2.6285,-0.4887,2.3181,1.7317,1.2777,0.0193,-0.0128,-0.4489,-0.8721
2.1533,-0.753,0.7888,7.0194,2.8323,-0.8199,3.5969,-5.5976,-0.4514,-3.8177,-3.5663,0.0531
2.8654,-1.4595,-0.0099,-0.1405,2.2038,3.0519,-0.2012,-0.8201,-0.3867,1.4758,0.98,0.4811
1.0171,-0.2966,-0.335,-0.4371,0.2752,2.0047,1.8771,-0.6644,-0.3924,-0.5,-1.848,-0.569
0.0634,0.0067,-0.3033,-1.832,0.1663,-0.4452,-1.0576,0.7588,0.7739,1.6563,0.6243,0.4946
-0.8046,0.6205,-0.0432,-0.9187,-1.2293,-1.5788,-0.5087,0.6329,0.4074,0.4526,-1.123,-0.6755
1.4116,-0.2454,1.053,4.1795,1.6413,-0.9835,3.8716,-3.2078,0.2218,-2.9383,-1.918,-0.883
-3.7592,1.3767,0.8211,-5.1331,-4.3652,-3.963,2.1126,1.5145,0.58,0.3567,-2.3326,-1.8947
1.5419,-0.437,-1.4702,0.6479,1.3677,2.9635,-0.0038,0.0542,-0.884,0.0862,1.749,0.7415
0.6941,0.3033,-1.9251,-1.4731,0.6099,2.8756,-1.9315,2.6048,0.3495,1.5739,2.5141,0.4441
2.6898,-0.5641,1.0789,2.3797,4.0342,-1.9263,-1.7194,-0.7909,0.9068,1.3753,-0.1002,2.0959
-1.5046,0.5459,-0.2811,-2.0558,-1.5407,-0.8958,-2.6454,3.3979,1.0786,2.3602,1.3689,0.4521
1.5243,-1.0294,-0.7489,-0.9151,1.3537,2.3538,1.2635,-0.1472,0.1502,1.1883,0.2686,-0.5011
0.5603,-0.8863,-1.4716,-0.6893,0.7585,1.584,-4.8771,3.1104,0.109,3.2902,4.2925,1.6268
1.2157,-0.2467,0.0177,-0.4906,0.7333,0.6722,2.1595,-0.0733,0.1131,-0.3771,-1.0852,-0.0385
-1.5549,0.8987,0.2265,-3.608,-1.4126,-0.5909,-0.6733,1.8664,0.0479,1.3574,-0.3074,-0.3261
-0.9625,-0.3687,-1.4811,-2.7071,-0.7572,1.3498,-1.9004,2.2423,-0.2504,1.5893,2.7358,0.3213
3.4704,-1.5439,1.4455,0.9977,2.7353,0.8245,4.3406,-3.6645,-0.051,-1.6161,-3.3356,-0.8551
-0.5922,0.07,-0.4658,-0.6824,-0.2872,0.9551,0.2294,0.0464,0.012,-0.4034,0.7942,-0.0371
3.17,-0.9205,1.0444,4.9491,3.7667,0.9907,-0.8576,-2.0839,-0.6352,-0.9144,1.0521,2.1846
-1.0272,0.0629,-1.8866,-6.7664,-1.9396,1.8537,-4.1214,6.0126,0.0667,4.1883,2.8435,-0.4507
-0.8555,0.8107,0.0068,-1.8206,-0.7968,-1.1362,0.0266,1.7778,0.6254,0.8099,0.1671,-0.5665
-0.0943,0.029,0.6787,1.8566,0.3186,-0.7901,0.3221,-1.501,-0.4469,-1.5218,-0.1975,0.7898
-1.1161,0.0522,-0.3717,0.7064,-1.5147,0.6631,3.2772,-1.1005,-0.4154,-2.4669,-1.3868,-1.2184
0.3477,-0.0161,-0.471,-1.1063,-0.2922,1.0175,0.0147,0.8828,-0.3465,-0.0808,0.2101,-0.5093
1.8139,-0.5728,0.8171,2.6859,2.2205,0.4774,-0.1225,-1.6007,-1.0998,-0.8916,-0.3929,0.5562
1.1671,-0.842,0.817,2.0038,2.3453,-0.8113,-1.4758,-0.137,-0.48,0.1432,1.0132,0.864
-0.5055,0.4329,0.0826,2.038,0.1097,-2.0748,-1.1638,-1.3669,0.0953,-0.0387,-0.2461,0.9122
1.2578,-1.2887,-1.2579,-0.2568,1.9524,2.2107,-2.5527,1.7058,-0.0555,2.4645,2.6722,1.4366
1.4414,-0.7826,-0.185,0.6737,1.392,0.9349,0.1609,-0.584,0.1968,0.4126,0.3764,0.2009
1.6702,-0.7421,0.1373,-1.1151,1.2163,0.5243,0.1996,-0.1238,0.5545,0.6832,-0.9003,0.1252
-1.9523,-0.0048,-0.1777,-3.632,-1.7803,-1.155,-1.1457,1.7382,0.4942,1.0988,0.095,-0.8225
-1.4155,0.0121,-0.6587,-1.0207,-1.8352,1.1936,0.5722,0.2844,-0.5856,-0.0939,0.6158,-0.8317
-2.2537,0.7875,0.8282,-3.8488,-1.9603,-2.1248,-1.4046,2.7282,1.7363,1.8772,0.2093,-0.3549
-3.7785,0.6313,0.7779,0.6366,-2.946,-4.7983,-2.0043,-0.0484,0.0804,-1.3755,-0.5611,0.4123
-0.242,-0.4738,-2.5284,-6.8217,0.159,2.7337,-5.7272,6.2064,0.6109,5.7803,4.5973,1.0349
1.8707,-1.1039,-0.9302,0.2793,0.77,2.7811,-0.1908,0.5985,-0.619,0.2484,1.7183,-0.6106
3.2977,-1.4065,0.9264,3.485,2.7443,1.5217,4.7603,-4.3784,-0.8373,-1.8013,-3.3075,-0.2736
-0.0169,-0.0812,0.4114,0.1386,0.5407,-1.8277,-1.4588,0.1819,0.715,1.5157,0.4098,1.1335
2.5081,-0.6794,0.8298,3.3083,1.8233,-0.56,0.155,-2.7331,0.2348,-0.3371,-0.8964,0.7415
