f1,f2,f3,f4,f5,f6,target
-2.3075,0.7553,0.711,0.1637,0.2751,-0.4599,0.2914
0.8778,0.7985,-0.9407,-0.7871,0.1745,1.7204,-1.7839
0.1651,0.3542,1.2519,0.5985,0.0148,0.0067,2.063
0.0431,-1.9714,-0.0601,-0.7085,0.3668,-1.6538,1.2143
1.3338,-1.2334,0.4927,-1.064,-1.8441,0.561,3.7394
0.0936,0.5702,-1.4961,0.1054,-0.3982,0.8012,-2.4665
-0.2451,-0.3355,-0.8345,-0.0014,0.0047,-0.7144,4.2401
0.0669,-0.8074,-1.287,1.5514,-1.2482,0.0721,-0.1736
1.136,-0.6026,0.6314,-0.5784,0.8394,-0.4558,9.2071
-0.9754,1.1068,0.4694,-1.2846,-0.0214,-0.4633,-5.3219
1.6803,-1.3656,1.7169,-0.7146,1.2786,1.5262,1.4135
0.3027,0.1964,0.2239,-0.5729,0.3447,-0.2612,-0.0838
0.7981,-0.0261,0.5076,-0.5496,1.7363,1.0351,1.0596
1.3169,-0.1553,0.3705,0.8668,0.344,1.9039,4.1303
0.1442,-1.6488,-0.7496,-0.3034,0.5683,-0.0568,-1.1718
0.8996,0.8761,-1.1454,0.953,-1.3961,-0.6545,5.9688
-1.1784,0.7038,0.1408,1.3961,1.1637,-1.4403,-3.1045
0.8659,0.2529,0.387,-0.6471,-1.094,-0.4027,-1.8503
-0.6531,0.0742,0.7335,-1.066,0.6779,0.5526,-5.7886
0.9358,1.0692,0.1473,-0.9123,0.0025,-2.7109,-0.9115
1.2813,0.4282,-0.7388,1.3447,1.4423,1.4568,-2.361
0.0881,-0.2466,-1.4625,-0.8923,0.7354,0.7767,-0.0371
-0.0545,-0.1966,2.2395,0.042,0.0837,-1.5157,-1.7409
0.5067,-2.4515,-0.2393,1.0702,-0.7324,0.2008,4.3238
-0.4319,1.0898,0.8781,0.1481,1.1149,0.591,-1.7781
1.9872,-1.1726,0.6937,0.6806,1.095,-0.4059,0.022
-0.783,0.4739,0.0131,-0.2551,0.974,0.2077,1.6466
1.2689,-0.4438,0.9721,0.006,-0.7411,0.8241,6.84
-1.1407,1.5202,0.7626,0.6234,0.7598,-0.0645,0.1888
0.989,0.3493,-0.2008,0.224,-1.1256,1.9405,-1.39
-1.5313,-1.0217,0.9506,0.2318,0.7191,1.4886,-1.6131
